Name,Food,Street,Phone,Rating
Unnamed Restaurant,Salad,"Yonge St, Toronto",+1 919-344-3561,2.7
The Black Briik,Sushi,"Bloor St W, Toronto",+1 907-190-6640,1.6
Prague Restaurant,BBQ,"Yonge St, Toronto",+1 899-455-5080,4.1
Pi Co.,pizza,"College St, Toronto",+1 840-290-9973,2.7
Prime Doner Shwarma,Tacos,"Spadina Ave, Toronto",+1 864-238-7803,4.7
Harry's Charbroiled,burger,"Palmerston Ave, Toronto",+1 786-513-9786,3.1
The Fourth Man in the Fire,pizza,"Spadina Ave, Toronto",+1 816-461-8476,1.9
Drom Taberna,Burger,"Queen St W, Toronto",+1 634-910-4945,1.4
Stella's Kitchen,pizza;italian,"Dupont St, Toronto",+1 812-905-5143,2.2
Red Lobster,seafood,"Spadina Ave, Toronto",+1 603-836-5048,4.2
Mexitaco,mexican,"Victoria Park Ave, Toronto",+1 793-259-4038,2.3
The Irv,Steak,"Carlton St, Toronto",+1 874-723-6469,2.2
Chew Chew's Diner,burger,"Carlton St, Toronto",+1 766-770-6981,2.9
Naan Kabob,Tacos,"College St, Toronto",+1 908-399-2329,3.5
Biagio Ristorante,italian,"College St, Toronto",+1 801-797-5348,2.4
P.J. O'Brien Restaurant,Falafel,"Colborne St, Toronto",+1 904-823-6548,1.0
Mercatto Restaurant,Sushi,"College St, Toronto",+1 963-280-4709,3.5
Unnamed Restaurant,italian,"Toronto St, Toronto",+1 642-297-9175,1.2
BLD Restaurant,Salad,"Toronto St, Toronto",+1 639-292-4158,1.4
Sunset Grill,american,"Bay St, Toronto",+1 802-907-7096,2.6
Kyoto House Japanese Restaurant,Salad,"Spadina Ave, Toronto",+1 637-290-4171,3.4
Gyubee Japanese Grill,japanese,"Dundas St W, Toronto",+1 709-591-8827,2.6
Hemispheres Restaurant Bistro,Tacos,"Chestnut St, Toronto",+1 893-851-5421,4.9
Piggy's,Steak,"Bloor St, Toronto",+1 845-707-9204,1.2
Roméo Bouzouki Lounge,Salad,"Yonge St, Toronto",+1 738-498-3505,3.0
Pizza Hut,pizza,"Spadina Ave, Toronto",+1 916-697-8453,4.4
Fran's Restaurant,Pasta,"College St, Toronto",+1 875-931-2338,4.4
Congee Wong,chinese,"Dundas St, Toronto",+1 885-257-9163,4.7
Petit Potato,Tacos,"Dundas St, Toronto",+1 650-302-7263,4.9
The Keg,steak_house,"Leslie St, Toronto",+1 894-498-3432,4.6
Kinka Izakaya,japanese,"Dundas St, Toronto",+1 659-470-1963,2.3
Matha Roti,indian,"Spadina Ave, Toronto",+1 712-889-3570,4.3
Akai,sushi,"Dundas St, Toronto",+1 605-453-5984,4.4
Chinese Halal Restaurant,chinese,"King St, Toronto",+1 676-591-3094,1.9
Asian Legend,Pasta,"King St, Toronto",+1 713-932-7815,2.7
Asian Legend,Burger,"Ravel Rd, N York",+1 724-847-9489,1.6
Fieramosca Cafe,Pizza,"Prince Arthur Ave, Toronto",+1 689-650-9926,3.9
Opus Restaurant on Prince Arthur,Steak,"Prince Arthur Ave, Toronto",+1 697-178-2383,1.1
Joyous Chinese Cuisine,chinese,"Leslie St, N York",+1 988-742-4488,4.6
Jerusalem Restaurant,mediterranean,"Leslie St, Toronto",+1 930-817-8297,4.4
Swiss Chalet,chicken,"Queen St, Toronto",+1 832-170-1398,2.7
Olde Yorke Fish & Chips,Pizza,"Bay St, Toronto",+1 764-677-1366,4.3
Swiss Chalet Express,chicken,"Queen St E, Toronto",+1 903-512-2627,1.1
Palace Restaurant,greek,"Bloor St, Toronto",+1 759-650-9409,4.0
New College Cafeteria,Pizza,"Dundas St, Toronto",+1 793-619-4463,4.1
The Arbor Room,Salad,"Dundas St, Toronto",+1 684-293-5308,3.5
Red Lobster,seafood,"Bay St, Toronto",+1 841-868-1138,4.9
nutbar,Ramen,"Adelaide St W, Toronto",+1 879-447-8885,2.8
Avenue Open Kitchen & Deli,Pasta,"Yonge St, Toronto",+1 611-615-1142,4.6
Köz Bingöl,turkish,"Queen St W, Toronto",+1 693-215-5132,3.1
Campechano Taqueria,mexican,"Dundas St, Toronto",+1 948-702-3103,4.8
Sector 17,burger;indian,"Dundas St E, Toronto",+1 924-842-9473,3.4
Garage,Pasta,"King St, Toronto",+1 906-956-2540,1.8
Ginger,Steak,"Bloor St, Toronto",+1 686-930-8051,1.4
SS Kitchen,chinese,"Dundas St, Toronto",+1 872-737-4804,3.9
Jadranka Cafe & Pastries,Pizza,"Scarlett Rd, York",+1 667-218-2455,1.5
Dumpling House Restaurant,chinese,"King St, Toronto",+1 614-666-4760,1.1
Sizzler Kabab,Pasta,"King St, Toronto",+1 900-438-1163,4.5
PaPaSpicy,Ramen,"Spadina Ave, Toronto",+1 903-814-2454,4.3
Kupfert & Kim - Spadina,Salad,"Spadina Ave, Toronto",+1 734-817-3332,4.5
Pizza Rustica Restaurant & Bar,pizza,"Blue Jays Way, Toronto",+1 732-519-4112,3.9
Boston Pizza,pizza,"College St, Toronto",+1 626-949-7447,3.5
Scaddabush,Falafel,"Queen St, Toronto",+1 967-287-3776,4.8
The Rib House,ribs,"Woodbine Ave, E York",+1 718-745-6620,3.6
Thai Wok Restaurant,thai,"Woodbine Ave, E York",+1 697-763-7631,1.1
Lettuce Love Cafe,Tacos,"Bloor St W, Toronto",+1 697-841-4630,2.6
Colaba Junction,Tacos,"College St, Toronto",+1 785-490-9007,1.9
Kanpai Snack Bar,taiwanese,"Carlton St, Toronto",+1 957-415-6179,1.6
Sultan Shawarma & Falafel,Pizza,"Danforth Ave, Toronto",+1 718-323-3757,1.6
Hooters,burger,"Bay St, Toronto",+1 740-985-2351,3.0
California Pub & Grill,Tacos,"Yonge St, Toronto",+1 891-702-1022,4.7
K.C. Caribbean Take-Out,Steak,"Spadina Ave, Toronto",+1 610-326-4390,3.0
Westbank Restaurant & Bar,Ramen,"St Clair Ave E, Scarborough",+1 934-158-2741,1.9
Eggsmart,breakfast,"Yonge St, Toronto",+1 635-741-1612,1.4
Gabby's,Sushi,"Sherbourne St, Toronto",+1 924-717-1026,4.1
Westown Chinese Food,BBQ,"College St, Toronto",+1 863-774-9190,3.1
CC Lounge and Whiskey Bar,Pasta,"Front St E, Toronto",+1 959-603-1341,2.6
Oliver & Bonacini Café & Grill,Steak,"Yonge St, Toronto",+1 758-947-5440,2.5
Unnamed Restaurant,Steak,"Dundas St, Toronto",+1 798-484-7702,1.3
Pizza Hut,pizza,"Lawrence Ave E, Scarborough",+1 786-872-7414,3.8
Sammy's Family Restaurant,BBQ,"Yonge St, Toronto",+1 651-387-4522,1.8
Tacos El Asador,mexican,"Spadina Ave, Toronto",+1 816-990-2108,1.9
Buk Chang Dong Soon Tofu,korean,"Bloor St W, Toronto",+1 669-644-2219,4.9
Kintori,ramen,"Bloor St W, Toronto",+1 961-771-8186,4.6
Korea House,korean,"Bloor St W, Toronto",+1 709-574-1331,3.5
