Name,Food,Street,Phone,Rating
Unknown,Salad,"Yonge St, Toronto",+1 919-344-3561,2.7
The Black Briik,Sushi,"Bloor Street West, Toronto",+1 907-190-6640,1.6
Prague Restaurant,BBQ,"Yonge St, Toronto",+1 899-455-5080,4.1
Pi Co.,pizza,"College St, Toronto",+1 840-290-9973,2.7
Prime Doner Shwarma,Tacos,"Spadina Avenue, Toronto",+1 864-238-7803,4.7
Harry's Charbroiled,burger,"Palmerston Avenue, Toronto",+1 786-513-9786,3.1
The Fourth Man in the Fire,pizza,"Spadina Ave, Toronto",+1 816-461-8476,1.9
Drom Taberna,Burger,"Queen Street West, Toronto",+1 634-910-4945,1.4
Stella's Kitchen,pizza;italian,"Dupont Street, Toronto",+1 812-905-5143,2.2
Red Lobster,seafood,"Spadina Ave, Toronto",+1 603-836-5048,4.2
Mexitaco,mexican,"Victoria Park Avenue, Toronto",+1 793-259-4038,2.3
The Irv,Steak,"Carlton Street, Toronto",+1 874-723-6469,2.2
Chew Chew's Diner,burger,"Carlton Street, Toronto",+1 766-770-6981,2.9
Naan Kabob,Tacos,"College St, Toronto",+1 908-399-2329,3.5
Biagio Ristorante,italian,"College St, Toronto",+1 801-797-5348,2.4
P.J. O'Brien Restaurant,Falafel,"Colborne Street, Toronto",+1 904-823-6548,1
Mercatto Restaurant,Sushi,"College St, Toronto",+1 963-280-4709,3.5
Unknown,italian,"Toronto Street, Toronto",+1 642-297-9175,1.2
BLD Restaurant,Salad,"Toronto Street, Toronto",+1 639-292-4158,1.4
Sunset Grill,american,"Bay St, Toronto",+1 802-907-7096,2.6
Kyoto House Japanese Restaurant,Salad,"Spadina Ave, Toronto",+1 637-290-4171,3.4
Gyubee Japanese Grill,japanese,"Dundas Street West, Toronto",+1 709-591-8827,2.6
Hemispheres Restaurant Bistro,Tacos,"Chestnut Street, Toronto",+1 893-851-5421,4.9
Piggy's,Steak,"Bloor St, Toronto",+1 845-707-9204,1.2
Roméo Bouzouki Lounge,Salad,"Yonge St, Toronto",+1 738-498-3505,3
Pizza Hut,pizza,"Spadina Ave, Toronto",+1 916-697-8453,4.4
Fran's Restaurant,Pasta,"College St, Toronto",+1 875-931-2338,4.4
Congee Wong,chinese,"Dundas St, Toronto",+1 885-257-9163,4.7
Petit Potato,Tacos,"Dundas St, Toronto",+1 650-302-7263,4.9
The Keg,steak_house,"Leslie Street, Toronto",+1 894-498-3432,4.6
Kinka Izakaya,japanese,"Dundas St, Toronto",+1 659-470-1963,2.3
Matha Roti,indian,"Spadina Ave, Toronto",+1 712-889-3570,4.3
Akai,sushi,"Dundas St, Toronto",+1 605-453-5984,4.4
Chinese Halal Restaurant,chinese,"King St, Toronto",+1 676-591-3094,1.9
Asian Legend,Pasta,"King St, Toronto",+1 713-932-7815,2.7
Asian Legend,Burger,"Ravel Road, North York",+1 724-847-9489,1.6
Fieramosca Cafe,Pizza,"Prince Arthur Avenue, Toronto",+1 689-650-9926,3.9
Opus Restaurant on Prince Arthur,Steak,"Prince Arthur Avenue, Toronto",+1 697-178-2383,1.1
Joyous Chinese Cuisine,chinese,"Leslie Street, North York",+1 988-742-4488,4.6
Jerusalem Restaurant,mediterranean,"Leslie Street, Toronto",+1 930-817-8297,4.4
Swiss Chalet,chicken,"Queen St, Toronto",+1 832-170-1398,2.7
Olde Yorke Fish & Chips,Pizza,"Bay St, Toronto",+1 764-677-1366,4.3
Swiss Chalet Express,chicken,"Queen Street East, Toronto",+1 903-512-2627,1.1
Palace Restaurant,greek,"Bloor St, Toronto",+1 759-650-9409,4
New College Cafeteria,Pizza,"Dundas St, Toronto",+1 793-619-4463,4.1
The Arbor Room,Salad,"Dundas St, Toronto",+1 684-293-5308,3.5
Red Lobster,seafood,"Bay St, Toronto",+1 841-868-1138,4.9
nutbar,Ramen,"Adelaide Street West, Toronto",+1 879-447-8885,2.8
Avenue Open Kitchen & Deli,Pasta,"Yonge St, Toronto",+1 611-615-1142,4.6
Köz Bingöl,turkish,"Queen Street West, Toronto",+1 693-215-5132,3.1
Campechano Taqueria,mexican,"Dundas St, Toronto",+1 948-702-3103,4.8
Sector 17,burger;indian,"Dundas Street East, Toronto",+1 924-842-9473,3.4
Garage,Pasta,"King St, Toronto",+1 906-956-2540,1.8
Ginger,Steak,"Bloor St, Toronto",+1 686-930-8051,1.4
SS Kitchen,chinese,"Dundas St, Toronto",+1 872-737-4804,3.9
Jadranka Cafe & Pastries,Pizza,"Scarlett Road, York",+1 667-218-2455,1.5
Dumpling House Restaurant,chinese,"King St, Toronto",+1 614-666-4760,1.1
Sizzler Kabab,Pasta,"King St, Toronto",+1 900-438-1163,4.5
PaPaSpicy,Ramen,"Spadina Avenue, Toronto",+1 903-814-2454,4.3
Kupfert & Kim - Spadina,Salad,"Spadina Avenue, Toronto",+1 734-817-3332,4.5
Pizza Rustica Restaurant & Bar,pizza,"Blue Jays Way, Toronto",+1 732-519-4112,3.9
Boston Pizza,pizza,"College St, Toronto",+1 626-949-7447,3.5
Scaddabush,Falafel,"Queen St, Toronto",+1 967-287-3776,4.8
The Rib House,ribs,"Woodbine Avenue, East York",+1 718-745-6620,3.6
Thai Wok Restaurant,thai,"Woodbine Avenue, East York",+1 697-763-7631,1.1
Lettuce Love Cafe,Tacos,"Bloor Street West, Toronto",+1 697-841-4630,2.6
Colaba Junction,Tacos,"College St, Toronto",+1 785-490-9007,1.9
Kanpai Snack Bar,taiwanese,"Carlton Street, Toronto",+1 957-415-6179,1.6
Sultan Shawarma & Falafel,Pizza,"Danforth Avenue, Toronto",+1 718-323-3757,1.6
Hooters,burger,"Bay St, Toronto",+1 740-985-2351,3
California Pub & Grill,Tacos,"Yonge St, Toronto",+1 891-702-1022,4.7
K.C. Caribbean Take-Out,Steak,"Spadina Ave, Toronto",+1 610-326-4390,3
Westbank Restaurant & Bar,Ramen,"St Clair Avenue East, Scarborough",+1 934-158-2741,1.9
Eggsmart,breakfast,"Yonge St, Toronto",+1 635-741-1612,1.4
Gabby's,Sushi,"Sherbourne Street, Toronto",+1 924-717-1026,4.1
Westown Chinese Food,BBQ,"College St, Toronto",+1 863-774-9190,3.1
CC Lounge and Whiskey Bar,Pasta,"Front Street East, Toronto",+1 959-603-1341,2.6
Oliver & Bonacini Café & Grill,Steak,"Yonge Street, Toronto",+1 758-947-5440,2.5
Unknown,Steak,"Dundas St, Toronto",+1 798-484-7702,1.3
Pizza Hut,pizza,"Lawrence Avenue East, Scarborough",+1 786-872-7414,3.8
Sammy's Family Restaurant,BBQ,"Yonge St, Toronto",+1 651-387-4522,1.8
Tacos El Asador,mexican,"Spadina Ave, Toronto",+1 816-990-2108,1.9
Buk Chang Dong Soon Tofu,korean,"Bloor Street West, Toronto",+1 669-644-2219,4.9
Kintori,ramen,"Bloor Street West, Toronto",+1 961-771-8186,4.6
Korea House,korean,"Bloor Street West, Toronto",+1 709-574-1331,3.5
Korean Village Restaurant,korean;japanese;chinese,"Bloor Street West, Toronto",+1 627-554-5300,4.5
Yupdduk,korean,"Bloor Street West, Toronto",+1 741-886-4557,3
Namaste India,indian,"Bloor Street West, Toronto",+1 886-519-4598,4.8
Arisu Korean & Japanese Restaurant Bar,japanese;asian,"Bloor Street West, Toronto",+1 996-373-8974,4.8
The Greek Grill,Steak,"Queen St, Toronto",+1 762-607-6656,3.6
Karahi Point,Falafel,"College St, Toronto",+1 667-526-1666,3.7
Jack Astor's,american,"Don Mills Road, Toronto",+1 804-568-8704,4.7
Bar Mercurio,italian;pizza,"Bloor Street West, Toronto",+1 641-796-3223,4.3
Masters,Pizza,"Queen St, Toronto",+1 677-199-5802,4.3
Faley Restaurant,chinese,"Overlea Boulevard, East York",+1 780-748-1601,1.1
Harvest Noon Cafe,Pasta,"Bancroft Avenue, Toronto",+1 684-830-6552,2
Freshii,salad,"Bay Street, Toronto",+1 694-389-9637,3.1
Ginza Sushi,japanese,"King St, Toronto",+1 998-255-6188,1.4
Sun Star Chinese,chinese,"Queen St, Toronto",+1 654-588-5760,3.8
Ming Lou,chinese,"Ravel Road, North York",+1 751-103-1682,2.6
He He Long BBQ Takeout,chinese,"College St, Toronto",+1 670-385-3942,3.6
Hot Spicy Spicy,chinese,"King St, Toronto",+1 982-762-2892,4.4
Jack Astor's,american,"Yonge St, Toronto",+1 731-337-9319,2.9
Roja’s Kitchen,Steak,"Queen Street West, Toronto",+1 943-141-9760,1.4
Richtree Market Restaurants,Steak,"York Mills Road, North York",+1 866-318-2680,3.7
Swiss Chalet,chicken,"King St, Toronto",+1 628-693-4922,2.2
Mr. Greek,greek,"York Mills Road, North York",+1 768-625-4936,1.2
Pizza Hut,pizza,"York Mills Road, North York",+1 705-384-9241,3.2
Mount Olive Mediterranean Cuisine,Burger,"Bayview Avenue, Toronto",+1 757-594-6708,1.8
Mandarin,chinese,"Yonge Street, Toronto",+1 807-194-9945,2
Kelly's Landing,Falafel,"King St, Toronto",+1 938-856-7543,3.3
Shawarma's King,turkish,"Queen Street East, Toronto",+1 873-424-5411,3.4
Milestones,bar&grill,"Dundas Street East, Toronto",+1 634-428-1317,4
Cranberries Restaurant,Pasta,"Parliament Street, Toronto",+1 718-382-2315,4.8
Pickle Barrel Grand,Steak,"Yonge St, Toronto",+1 905-324-6759,3.1
Yonge Street Warehouse,burger;mexican,"Yonge Street, Toronto",+1 768-579-3312,1.8
Congee Queen,Pasta,"Dundas St, Toronto",+1 867-902-1389,2.5
Market Garden Food Emporium & Terrace,Pasta,"Gerrard Street West, Toronto",+1 701-199-6714,3.8
Swiss Chalet,chicken,"Keele Street, Toronto",+1 786-565-6342,3.9
Peter Pan Bistro,Pizza,"Queen Street West, Toronto",+1 766-737-2342,4.6
Tatami Sushi,sushi,"Bloor St, Toronto",+1 890-684-4893,2.8
Minerva Tiffins,indian,"Lebovic Avenue, Toronto",+1 755-661-8112,1.5
Numerous Sushi,sushi,"Dundas St, Toronto",+1 641-996-1704,3.4
Golden Griddle,Tacos,"King St, Toronto",+1 982-515-8956,1.2
Mr. Greek,greek,"College St, Toronto",+1 753-298-3035,4.2
Sushi House,sushi,"Spadina Ave, Toronto",+1 773-166-2377,2.6
The Benue,nigerian,"Christie Street, Toronto",+1 954-361-8991,2.8
Blaze Pizza,pizza,"Dundas Street East, Toronto",+1 946-824-4524,2.9
Ki,japanese,"Bay Street, Toronto",+1 940-230-3857,2.5
Spring Rolls,Tacos,"Dundas Street West, Toronto",+1 867-704-9768,2.9
Far Niente,Pasta,"College St, Toronto",+1 691-951-9645,1.7
Sukho Thai,thai,"Wellington Street East, Toronto",+1 995-344-9216,4.8
Hothouse Restaurant & Bar,italian,"Church Street, Toronto",+1 966-120-3770,3.3
The Corner Place,BBQ,"Queen St, Toronto",+1 682-922-4347,1.5
Bombay Palace Haute Indian Cuisine,indian,"Jarvis Street, Toronto",+1 963-207-7718,1.6
Buppha Thai Restaurant,Pizza,"King St, Toronto",+1 998-911-5267,4.5
Philthy Philly's,sandwich;american,"Queen St, Toronto",+1 841-334-2459,4.7
Jack Astor's,american,"Dundas St, Toronto",+1 934-561-4508,1.3
Spring Sushi,sushi,"College St, Toronto",+1 641-744-2320,2.1
Armenian Bistro,Ramen,"Bay St, Toronto",+1 753-169-7563,4.7
Swiss Chalet,chicken,"Dundas Street West, Toronto",+1 691-721-1071,2.1
Kiku,japanese,"King St, Toronto",+1 724-803-8649,3.7
St. Louis Bar & Grill,chicken,"Yonge St, Toronto",+1 734-192-7337,5
Big Smoke Burger,Pizza,"York Mills Road, North York",+1 790-466-5408,3.3
St. Louis Bar & Grill,chicken,"Queen St, Toronto",+1 888-362-3329,1.1
Allen's,Tacos,"Bloor St, Toronto",+1 682-643-1891,2.4
Swiss Chalet,chicken,"Queens Quay West, Toronto",+1 984-739-9859,3.7
